date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:08	9434/9434	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:12%20GMT	www.superspoof.com/news/story-0032.php	./www.superspoof.com/news/story-0032.html	(from www.superspoof.com/)
13:38:08	1277/1277	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2022%20Nov%202004%2019:39:35%20GMT	pagead2.googlesyndication.com/pagead/show_ads.js	./pagead2.googlesyndication.com/pagead/show_ads.js	(from www.superspoof.com/)
13:38:09	11450/11450	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:12%20GMT	www.superspoof.com/news/infocus.php	./www.superspoof.com/news/infocus.html	(from www.superspoof.com/)
13:38:09	1673/1673	---M--	200	added ('OK')	image/gif	etag:%22718057-689-8acf9240%22	www.superspoof.com/images/hr_bot.gif	./www.superspoof.com/images/hr_bot.gif	(from www.superspoof.com/)
13:38:10	6192/6192	---M--	200	added ('OK')	image/jpeg	etag:%22718052-1830-8ab10dc0%22	www.superspoof.com/images/bcbnews.jpg	./www.superspoof.com/images/bcbnews.jpg	(from www.superspoof.com/news/)
13:38:10	9639/9639	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:14%20GMT	www.superspoof.com/news/story-0031.php	./www.superspoof.com/news/story-0031.html	(from www.superspoof.com/)
13:38:11	9473/9473	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:18%20GMT	www.superspoof.com/news/story-0030.php	./www.superspoof.com/news/story-0030.html	(from www.superspoof.com/news/)
13:38:11	11156/11156	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:18%20GMT	www.superspoof.com/news/archive.php	./www.superspoof.com/news/archive.html	(from www.superspoof.com/news/)
13:38:12	9983/9983	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:18%20GMT	www.superspoof.com/news/story-0028.php	./www.superspoof.com/news/story-0028.html	(from www.superspoof.com/news/)
13:38:12	9377/9377	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:19%20GMT	www.superspoof.com/news/story-0027.php	./www.superspoof.com/news/story-0027.html	(from www.superspoof.com/news/)
13:38:15	9796/9796	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:20%20GMT	www.superspoof.com/news/story-0026.php	./www.superspoof.com/news/story-0026.html	(from www.superspoof.com/news/)
13:38:16	9264/9264	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:21%20GMT	www.superspoof.com/news/story-0025.php	./www.superspoof.com/news/story-0025.html	(from www.superspoof.com/news/)
13:38:16	10292/10292	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:22%20GMT	www.superspoof.com/news/story-0021.php	./www.superspoof.com/news/story-0021.html	(from www.superspoof.com/news/)
13:38:19	9484/9484	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:24%20GMT	www.superspoof.com/news/story-0029.php	./www.superspoof.com/news/story-0029.html	(from www.superspoof.com/news/)
13:38:20	9535/9535	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:25%20GMT	www.superspoof.com/news/story-0024.php	./www.superspoof.com/news/story-0024.html	(from www.superspoof.com/news/)
13:38:21	9632/9632	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:26%20GMT	www.superspoof.com/news/story-0020.php	./www.superspoof.com/news/story-0020.html	(from www.superspoof.com/news/)
13:38:23	8129/8129	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:28%20GMT	www.superspoof.com/email/iraq.php	./www.superspoof.com/email/iraq.html	(from www.superspoof.com/email/)
13:38:24	11435/11435	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:29%20GMT	www.superspoof.com/email/capitalism.php	./www.superspoof.com/email/capitalism.html	(from www.superspoof.com/email/)
13:38:25	9828/9828	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:30%20GMT	www.superspoof.com/email/americans.php	./www.superspoof.com/email/americans.html	(from www.superspoof.com/email/)
13:38:25	9752/9752	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:32%20GMT	www.superspoof.com/email/eu-mock.php	./www.superspoof.com/email/eu-mock.html	(from www.superspoof.com/email/)
13:38:26	9623/9623	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:32%20GMT	www.superspoof.com/email/noahincanada.php	./www.superspoof.com/email/noahincanada.html	(from www.superspoof.com/email/)
13:38:27	9399/9399	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:33%20GMT	www.superspoof.com/email/greattruths.php	./www.superspoof.com/email/greattruths.html	(from www.superspoof.com/email/)
13:38:28	11940/11940	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:34%20GMT	www.superspoof.com/email/mancode.php	./www.superspoof.com/email/mancode.html	(from www.superspoof.com/email/)
13:38:28	9200/9200	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:34%20GMT	www.superspoof.com/email/heartwarm.php	./www.superspoof.com/email/heartwarm.html	(from www.superspoof.com/email/)
13:38:28	11355/11355	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:35%20GMT	www.superspoof.com/email/rules.php	./www.superspoof.com/email/rules.html	(from www.superspoof.com/email/)
13:38:29	8993/8993	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:35%20GMT	www.superspoof.com/email/darkstorm.php	./www.superspoof.com/email/darkstorm.html	(from www.superspoof.com/email/)
13:38:30	9250/9250	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:36%20GMT	www.superspoof.com/email/heaven.php	./www.superspoof.com/email/heaven.html	(from www.superspoof.com/email/)
13:38:30	10931/10931	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:37%20GMT	www.superspoof.com/email/wife.php	./www.superspoof.com/email/wife.html	(from www.superspoof.com/email/)
13:38:31	9925/9925	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:37%20GMT	www.superspoof.com/email/shit.php	./www.superspoof.com/email/shit.html	(from www.superspoof.com/email/)
13:38:32	10780/10780	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:38%20GMT	www.superspoof.com/email/slapped.php	./www.superspoof.com/email/slapped.html	(from www.superspoof.com/email/)
13:38:32	9487/9487	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:39%20GMT	www.superspoof.com/email/spam.php	./www.superspoof.com/email/spam.html	(from www.superspoof.com/email/)
13:38:33	8561/8561	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:40%20GMT	www.superspoof.com/email/driver.php	./www.superspoof.com/email/driver.html	(from www.superspoof.com/email/)
13:38:33	11016/11016	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:39%20GMT	www.superspoof.com/email/puntabulous.php	./www.superspoof.com/email/puntabulous.html	(from www.superspoof.com/email/)
13:38:34	6539/6539	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Nov%202004%2019:39:42%20GMT	www.superspoof.com/email/008000	./www.superspoof.com/email/008000.html	(from www.superspoof.com/email/)
13:38:34	9192/9192	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:40%20GMT	www.superspoof.com/email/doughboy.php	./www.superspoof.com/email/doughboy.html	(from www.superspoof.com/email/)
13:38:34	6539/6539	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Nov%202004%2019:39:42%20GMT	www.superspoof.com/design/008000	./www.superspoof.com/design/008000.html	(from www.superspoof.com/design/)
13:38:35	6539/6539	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Nov%202004%2019:39:43%20GMT	www.superspoof.com/movies/008000	./www.superspoof.com/movies/008000.html	(from www.superspoof.com/movies/)
13:38:35	5425/5425	---M--	200	added ('OK')	image/jpeg	etag:%226b8074-1531-8a463e00%22	www.superspoof.com/ecard/rooster.jpg	./www.superspoof.com/ecard/rooster.jpg	(from www.superspoof.com/ecard/)
13:38:35	3788/3788	---M--	200	added ('OK')	image/jpeg	etag:%226b8072-ecc-8a463e00%22	www.superspoof.com/ecard/housewife.jpg	./www.superspoof.com/ecard/housewife.jpg	(from www.superspoof.com/ecard/)
13:38:36	12192/12192	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:41%20GMT	www.superspoof.com/email/chinese.php	./www.superspoof.com/email/chinese.html	(from www.superspoof.com/email/)
13:38:37	10405/10405	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202004%2019:39:42%20GMT	www.superspoof.com/email/products.php	./www.superspoof.com/email/products.html	(from www.superspoof.com/email/)
13:38:38	13177/13177	---M--	200	added ('OK')	image/gif	etag:%22634057-3379-89521a00%22	www.superspoof.com/art/ipatch.gif	./www.superspoof.com/art/ipatch.gif	(from www.superspoof.com/art/)
13:38:39	15769/15769	---M--	200	added ('OK')	image/jpeg	etag:%2263405e-3d99-898f2300%22	www.superspoof.com/art/sushi.jpg	./www.superspoof.com/art/sushi.jpg	(from www.superspoof.com/art/)
13:38:39	34629/34629	---M--	200	added ('OK')	image/jpeg	etag:%22634059-8745-89615c40%22	www.superspoof.com/art/ontario.jpg	./www.superspoof.com/art/ontario.jpg	(from www.superspoof.com/art/)
13:38:39	18743/18743	---M--	200	added ('OK')	image/jpeg	etag:%2263405c-4937-89709e80%22	www.superspoof.com/art/self-portrait.jpg	./www.superspoof.com/art/self-portrait.jpg	(from www.superspoof.com/art/)
13:38:39	1025/1025	---M--	200	added ('OK')	text/html	etag:%22700066-401-8a928940%22	www.superspoof.com/grog/grog2.html	./www.superspoof.com/grog/grog2.html	(from www.superspoof.com/grog/)
13:38:42	16935/16935	---M--	200	added ('OK')	image/jpeg	etag:%22658045-4227-89ada780%22	www.superspoof.com/bushwar/bushiban.jpg	./www.superspoof.com/bushwar/bushiban.jpg	(from www.superspoof.com/bushwar/)
13:38:45	18387/18387	---M--	200	added ('OK')	image/jpeg	etag:%2265804f-47d3-89f9f2c0%22	www.superspoof.com/bushwar/pic03602.jpg	./www.superspoof.com/bushwar/pic03602.jpg	(from www.superspoof.com/bushwar/)
13:38:51	40495/40495	---M--	200	added ('OK')	image/jpeg	etag:%22658058-9e2f-8a27b980%22	www.superspoof.com/bushwar/TheUN.jpg	./www.superspoof.com/bushwar/TheUN.jpg	(from www.superspoof.com/bushwar/)
13:38:52	94145/94145	---M--	200	added ('OK')	image/jpeg	etag:%22658046-16fc1-89cc2c00%22	www.superspoof.com/bushwar/chirac_moore.jpg	./www.superspoof.com/bushwar/chirac_moore.jpg	(from www.superspoof.com/bushwar/)
13:38:58	160863/160863	---M--	200	added ('OK')	application/x-shockwave-flash	etag:%2263405d-2745f-89bce9c0%22	www.superspoof.com/art/spoof.swf	./www.superspoof.com/art/spoof.swf	(from www.superspoof.com/art/)
13:38:58	36622/36622	---M--	200	added ('OK')	image/jpeg	etag:%22658048-8f0e-89cc2c00%22	www.superspoof.com/bushwar/dixie%20saddam.jpg	./www.superspoof.com/bushwar/dixie%20saddam.jpg	(from www.superspoof.com/bushwar/)
13:39:00	70765/70765	---M--	200	added ('OK')	image/jpeg	etag:%22658050-1146d-8a093500%22	www.superspoof.com/bushwar/pic06359.jpg	./www.superspoof.com/bushwar/pic06359.jpg	(from www.superspoof.com/bushwar/)
13:39:04	38835/38835	---M--	200	added ('OK')	image/jpeg	etag:%22658047-97b3-89cc2c00%22	www.superspoof.com/bushwar/Concord.jpg	./www.superspoof.com/bushwar/Concord.jpg	(from www.superspoof.com/bushwar/)
13:39:06	58763/58763	---M--	200	added ('OK')	image/jpeg	etag:%22658052-e58b-8a093500%22	www.superspoof.com/bushwar/pic17410.jpg	./www.superspoof.com/bushwar/pic17410.jpg	(from www.superspoof.com/bushwar/)
13:39:07	48000/48000	---M--	200	added ('OK')	image/jpeg	etag:%22658054-bb80-8a187740%22	www.superspoof.com/bushwar/pic21548.jpg	./www.superspoof.com/bushwar/pic21548.jpg	(from www.superspoof.com/bushwar/)
13:39:10	20392/20392	---M--	200	added ('OK')	image/jpeg	etag:%2265c029-4fa8-8a36fbc0%22	www.superspoof.com/campbell/anewera.jpg	./www.superspoof.com/campbell/anewera.jpg	(from www.superspoof.com/campbell/)
13:39:11	38713/38713	---M--	200	added ('OK')	image/jpeg	etag:%22658055-9739-8a27b980%22	www.superspoof.com/bushwar/pic27595.jpg	./www.superspoof.com/bushwar/pic27595.jpg	(from www.superspoof.com/bushwar/)
13:39:13	67855/67855	---M--	200	added ('OK')	image/jpeg	etag:%22658044-1090f-89bce9c0%22	www.superspoof.com/bushwar/chiracsings.jpg	./www.superspoof.com/bushwar/chiracsings.jpg	(from www.superspoof.com/bushwar/)
13:39:13	13532/13532	---M--	200	added ('OK')	image/jpeg	etag:%2265c02d-34dc-8a36fbc0%22	www.superspoof.com/campbell/protest.jpg	./www.superspoof.com/campbell/protest.jpg	(from www.superspoof.com/campbell/)
13:39:14	26234/26234	---M--	200	added ('OK')	image/jpeg	etag:%2265c02c-667a-8a36fbc0%22	www.superspoof.com/campbell/meanspirited.jpg	./www.superspoof.com/campbell/meanspirited.jpg	(from www.superspoof.com/campbell/)
13:39:18	30182/30182	---M--	200	added ('OK')	image/jpeg	etag:%2265c028-75e6-8a27b980%22	www.superspoof.com/campbell/ale.jpg	./www.superspoof.com/campbell/ale.jpg	(from www.superspoof.com/campbell/)
13:39:18	41224/41224	---M--	200	added ('OK')	image/jpeg	etag:%2265c02b-a108-8a463e00%22	www.superspoof.com/campbell/mastercard.jpg	./www.superspoof.com/campbell/mastercard.jpg	(from www.superspoof.com/campbell/)
13:39:19	37403/37403	---M--	200	added ('OK')	image/jpeg	etag:%2265c02e-921b-8a463e00%22	www.superspoof.com/campbell/wine.jpg	./www.superspoof.com/campbell/wine.jpg	(from www.superspoof.com/campbell/)
13:39:20	6261/6261	---M--	200	added ('OK')	image/jpeg	etag:%227f008d-1875-8c4d0a80%22	www.superspoof.com/vegas/rabbi.jpg	./www.superspoof.com/vegas/rabbi.jpg	(from www.superspoof.com/vegas/)
